feature,coefficient,abs_coefficient
num__x,0.604577577668044,0.604577577668044
num__y,0.08403107181982068,0.08403107181982068
num__depth,0.08351148916559452,0.08351148916559452
cat__clarity_I1,-0.015486444565044562,0.015486444565044562
cat__cut_Premium,-0.008560489590542822,0.008560489590542822
cat__cut_Very Good,0.007440356060292733,0.007440356060292733
cat__clarity_IF,0.00532069149370364,0.00532069149370364
num__carat,0.004682823291817218,0.004682823291817218
cat__clarity_VVS2,0.0032104653227185654,0.0032104653227185654
cat__color_J,0.003209858546305812,0.003209858546305812
cat__clarity_VVS1,0.002924691569458131,0.002924691569458131
cat__color_H,-0.00249711328033937,0.00249711328033937
cat__clarity_VS1,0.0024660511657355025,0.0024660511657355025
cat__clarity_VS2,0.0020717494354305786,0.0020717494354305786
cat__cut_Ideal,0.0017696274697619086,0.0017696274697619086
cat__cut_Good,-0.0012127558166233545,0.0012127558166233545
cat__color_I,-0.001172657098209593,0.001172657098209593
num__Unnamed: 0,-0.0010094736505930767,0.0010094736505930767
cat__clarity_SI2,-0.0010044198995965926,0.0010044198995965926
num__price,-0.0010000918031946862,0.0010000918031946862
cat__color_G,-0.0009144978656566917,0.0009144978656566917
cat__color_D,0.0005677021111958527,0.0005677021111958527
cat__cut_Fair,0.0005632618775420354,0.0005632618775420354
num__table,-0.0005314668242028347,0.0005314668242028347
cat__clarity_SI1,0.0004972154818337685,0.0004972154818337685
cat__color_E,0.0004242524150114988,0.0004242524150114988
cat__color_F,0.0003824551695716546,0.0003824551695716546
